
Date,City,Temperature (°C),Humidity(%),Air Quality Index(AQI) Value, AQI Category,Common Health Issues,Recommendations
2026-02-27,Guwahati,29,86,135,Moderate,"Nasal congestion","Avoid exhaust zones"
2026-02-27,Imphal,26,88,105,Satisfactory,"Allergic symptoms","Keep rooms clean"
2026-02-27,Shillong,21,91,85,Satisfactory,"Mild sinus pressure","Ventilate indoors"
2026-02-27,Agartala,27,85,125,Moderate,"Throat irritation","Avoid smoke exposure"
2026-02-27,Aizawl,23,92,95,Satisfactory,"Minor discomfort","Monitor air quality"
2026-02-06,Mumbai,~28°C - 34°C,~43–61%,248 (Poor),"Respiratory issues, allergies, eye irritation","Wear masks outdoors, use air purifiers, avoid peak pollution times"
2026-02-06,Delhi,~15°C - 22°C,~38–77%,271–305 (Poor/Very Poor),"Asthma, cough, chest discomfort, fatigue","Stay indoors, mask N95, reduce outdoor activities, hydrate well"
2026-02-06,Banglore,~21°C - 26°C,~15–88%,65–140 (Moderate),"Mild allergies, heat-related discomfort","Drink water, ventilate rooms, light clothing"
2026-02-06,Hydrabad,~27°C - 28°C,~74%,143–179 (Moderate/Poor),"Respiratory irritation, mild asthma symptoms","Air purifiers indoors, masks outdoors, avoid heavy exercise"
2026-02-06,Chennai,~24°C - 25°C,~53–57%,249 (Poor),"Skin irritation, respiratory discomfort","Stay hydrated, monitor pollution alerts, avoid strenuous outdoor work"
2026-02-06,Kolkata,~21°C - 27°C,~62–68%,271–305 (Poor/Very Poor),"Allergy, mild respiratory issues","Use air filters, mask if sensitive, stay hydrated"
2026-02-06,Pune,~22°C - 27°C,~37–59%,65–140 (Moderate),"Mild respiratory issues, eye irritation","Ventilate rooms, avoid dusty areas, mask if sensitive"
2026-02-06,Ahmedabad,~26°C - 31°C,~48–66%,143–179 (Moderate/Poor),"Respiratory discomfort, cough","Use indoor purifiers, reduce outdoor exposure"
2026-02-06,Jaipur,~17°C - 23°C,~45–60%,250 (Poor),"Asthma triggers, throat irritation","Wear masks, monitor pollution, indoor humidifiers"
2026-02-06,Lucknow,~15°C -21°C,~82%,271–305 (Poor/Very Poor),"Respiratory problems, fatigue","Masks, air purifiers, limit outdoor exposure"
2026-02-06,Patna,~22°C - 23°C,~50–70%,65–140 (Moderate),"Cough, breathing difficulties","Stay indoors, N95 masks, reduce outdoor exposure"
2026-02-06,Bhubneswar,~24°C ,~60–75%,143–179 (Moderate/Poor),"Asthma, chest discomfort","Avoid outdoor activity, use masks, air purifiers"
2026-02-06,Nagpur,~29°C,~40–60%,251 (Poor),"Mild respiratory issues, allergies","Ventilate indoors, mask outdoors if sensitive"
2026-02-06,Indore,~25°C - 26°C,~45–65%,Moderate/Poor,"Respiratory irritation, fatigue","Indoor air filtration, mask outdoors"
2026-02-06,Srinagar,~5°C,~50–70%,130 (Poor),"Cold-related illness, respiratory infections","Warm clothing, indoor heating, mask for air quality"
2026-02-06,Guwahati,~23°C - 24°C,~59%,248(Poor),"Asthma, cough, eye irritation","Limit outdoor exposure, use air purifiers"
2026-02-06,Imphal,~19°C,~60–75%,Moderate/Poor,"Cold-related illness, mild respiratory issues","Warm clothing, avoid peak pollution times"
2026-02-06,Shillong,~19°C,~70–85%,Moderate ,"Respiratory irritation, cold-related illness","Warm clothing, monitor weather changes"
2026-02-06,Agartala,~17°C  ,~65–80%,Moderate/Poor ,Mild respiratory issues,"Ventilated indoor spaces, avoid dusty areas"
2026-02-06,Aizawl,~17°C,~28–35%,Moderate ,Mild respiratory irritation,"Mask outdoors, indoor humidifiers"
